magnetic	[mægˈnetɪk] a. 磁的，有磁性的；有吸引力的
long-term	[lɒŋ tɜ:m] a. 长期的
mentor	[ˈmentɔː(r)] n. 导师；顾问，指导者
autobiography	[ˏɔːtəbaɪˈɔgrəfɪ] n. 自传
conceptual	[kənˈseptʃuəl] a. 观念的，概念的
liver	[ˈlɪvə(r)] n. 生活者，居住者；肝脏
recession	[rɪˈseʃn] n. （经济的）衰退，衰退时期；撤回，退回
organism	[ˈɔːgənɪzəm] n. 生物；有机体
enslave	[ɪnˈsleɪv] vt. 奴役，征服，使受控制
wrinkle	|
neutral	[ˈnjuːtrəl] a. 中立的；无明显特性的
disorientate	[dɪsˈɔːrɪənteɪt] vt. 使失去方向感；使迷茫，使不知所措（= disorient）
weed	[wiːd] n. 杂草
solidify	[səˈlɪdɪfaɪ] v. 巩固，确保；凝固，（使）固化；团结
scorching	[ˈskɔ:tʃɪŋ] a. 酷热的；激烈的
sharpen	['ʃɑ:pən] v. 削尖，磨快；使敏锐，使敏捷
extinguish	[ɪkˈstɪŋgwɪʃ] vt. 熄灭，扑灭；消灭，使破灭
frame	|
disappointing	[ˌdɪsəˈpɔɪntɪŋ] a. 令人失望的
herbal	|
archive	|
manipulate	[məˈnɪpjuleɪt] vt. 应付，处理；操纵，控制；影响
notify	[ˈnəutɪfaɪ] vt. 通知，报告
proclaim	[prəˈkleɪm] v. 宣告，宣布，声明；显示
terrify	[ˈterɪfaɪ] vt. 使恐怖，使惊吓
principle	[ˈprɪnsəpl] n. 原则，原理；规范，准则；基本信念，信条
caution	|
circumscribe	[ˈsɜːkəmskraɪb] vt. 在……周围画线；限制
shallow	[ˈʃæləu] a. 浅的；肤浅的，浅薄的
motivational	[ˌməʊtɪ'veɪʃənl] a. 动机的，有关动机的
balcony	[ˈbælkənɪ] n. 阳台；楼座
finale	[fɪˈnɑːlɪ] n. （音乐的）终曲；终场
rim	[rɪm] n. （圆形物体的）边，缘
subsequent	[ˈsʌbsɪkwənt] a. 继……之后的，随后的
dormitory	[ˈdɔːmɪtrɪ] n. （集体）宿舍
assist	[əˈsɪst] v. 帮助，援助，协助
estimate	|
approximately	[əˈprɒksɪmətli] ad. 近似，大约
magnify	[ˈmægnɪfaɪ] vt. 放大，扩大
fact-sheet	__fact__ __sheet__ [fækt ʃi:t] n. （尤指英国广播或电视节目中有关讨论题目的）资料页
structure	|
procrastinate	__proscrastinate__ [prəuˈkræstɪneɪt] v. 耽搁，拖延
caustic	|
diminish	[dɪˈmɪnɪʃ] v. 减少；降低；贬低，轻视
fulfil	[fulˈfɪl] vt. 实现，完成；满足
embed	[ɪmˈbed] vt. 把……嵌入（或埋入、插入），扎牢；使深留脑中
load	|
libel	|
convenience	[kənˈviːnɪəns] n. 方便；便利设施
diploma	[dɪˈpləumə] n. 毕业文凭（或证书）；资格证书
sufficient	[səˈfɪʃnt] a. 足够的，充分的
inhibit	[ɪnˈhɪbɪt] v. 抑制，约束；起抑制作用
depression	[dɪˈpreʃn] n. 忧愁，消沉；低气压，低压；不景气，萧条（期）
ascertain	[ˏæsəˈteɪn] vt. 弄清，查明；确定
generic	[dʒɪˈnerɪk] a. 一般的，普通的，通用的；种的，属的
ultimately	[ˈʌltɪmətli] ad. 最终地
clarify	[ˈklærɪfaɪ] vt. 澄清；阐明
consortium	[kənˈsɔːtɪəm] n. 集团；财团；社团，协会
browse	|
betray	[bɪˈtreɪ] vt. 出卖，泄露（秘密等）；辜负；流露情感
rehabilitate	[ˏriːəˈbɪlɪteɪt] vt. 改造（罪犯等），使恢复正常生活；使恢复原状，修复；复职；恢复……的名誉
skyscraper	['skaɪskreɪpə(r)] n. 摩天楼
bulge	[bʌldʒ] n./v. 膨胀；凸出；塞满
formulation	[ˌfɔ:mjʊ'leɪʃn] n. 公式化，格式化；确切的表达
dense	[dens] a. 密集的；浓厚的
synthetic	[sɪnˈθetɪk] a. 人造的；合成的，综合的  n. 合成物；合成纤维（织物）
sucker	[ˈsʌkə(r)] n. 吸盘；吸根，根出条
nerve	[nɜːv] n. 神经；勇敢
buckle	|
district	[ˈdɪstrɪkt] n. 区，地区
aerospace	[ˈeərəuspeɪs] n. 宇宙空间；航空航天技术
comic	|
punch	|
volt	[vəult] n. 伏特
foil	[fɔɪl] n. 箔；箔纸
marketplace	[ˈmɑ:kɪtpleɪs] n. 市场，集市
invisible	[ɪnˈvɪzəbl] a. 看不见的，无形的
widespread	__wildspread__ [ˈwaɪdspred] a. 分布广的；普遍的
daunt	[dɔːnt] vt. 使气馁，使胆怯
confront	[kənˈfrʌnt] vt. 遭遇；面对，正视
interior	|
dorm	[dɔːm] n. 宿舍
synchronise	[ˈsɪŋkrənaɪz] v. （使）同步发生，同速进行
spoil	|
settle	[ˈsetl] v. 定居，安家；解决，调停；安排，安放；支付，结算；安置于；（鸟等）飞落，停留，栖息
plush	|
expand	[ɪkˈspænd] v. （使）膨胀，（使）扩张；张开，展开；详述
extra	|
variety	[vəˈraɪətɪ]  n. 品种，种类；变化，多样化
enthusiastic	__enthusiasitc__ [ɪnˌθju:ziˈæstɪk] a. 热情的；热心的
prototype	[ˈprəutətaɪp] n. 原型，蓝本
religion	__religeion__ [rɪˈlɪdʒən] n. 宗教；宗教信仰
verify	[ˈverɪfaɪ] vt. 证明；证实
nurture	|
jealous	[ˈdʒeləs] a. 嫉妒的；猜疑的
due	[djuː] a. 到期的，预期的；应有的，应得的；正当的
beneficial	__benificial__ [ˏbenɪˈfɪʃl] a. 有利的，有益的
unbeatable	[ˏʌnˈbiːtəbl] a. 无敌的，不可战胜的
comment	|
tenant	[ˈtenənt] n. 承租人；房客；佃户
spine	[spaɪn] n. 脊椎，脊柱；（动植物的）刺，刺毛；书脊；<喻> 中心
emperor	[ˈempərə(r)] n. 皇帝；君主
leap	|
courtship	[ˈkɔːt-ʃɪp] n. 求爱或追求；求爱期，追求期
participation	[pɑ:ˌtɪsɪˈpeɪʃn] n. 分享；参与
unexpected	[ʌnɪkˈspektɪd] a. 想不到的，意外的
mainly	[ˈmeɪnli] ad. 大体上，主要地
pudding	[ˈpudɪŋ] n. 布丁
arrangement	[əˈreɪndʒmənt] n. 安排； [常pl.] 准备工作
domesticate	[dəˈmestɪkeɪt] vt. 驯养，教化；使喜爱家居生活
harness	|
particularly	[pəˈtikjuləli] ad. 特别，尤其
vacuum	|
jumble	|
scuffle	[ˈskʌfl] n./vi. 扭打，混战
spin	|
spare	|
outlaw	|
utilization	__utilizatioin__ [ˌju:təlaɪ'zeɪʃn] n. 利用
augment	[ɔːgˈment] vt. 增加，提高，扩大
inlet	[ˈɪnlet] n. 入口；进（水）口，水湾
orientation	[ˌɔ:riənˈteɪʃn] n. 定位；方向，方位；情况介绍；培训，训练
remind	[rɪˈmaɪnd] vt. 提醒，使想起；使发生联想
abundance	[əˈbʌndəns] n. 大量，丰富，充足，充裕
liberty	[ˈlɪbətɪ] n. 自由，自由权；许可，准许  [常pl.] 过于随便，放肆
fitting	|
photocopy	|
ambitious	[æmˈbɪʃəs] a. 有抱负的，有雄心的，有野心的
fold	|
sustainable	[səˈsteɪnəbl] a. 可以忍受的；足以支撑的；养得起的
momentum	[məˈmentəm] n. 动力，冲力，势头；动量
channel	[ˈtʃænl] n. 频道； [常pl.] 渠道，途径；沟渠；海峡，水道；航道
endure	[ɪnˈdjuə(r)] v. 忍受；持久，持续
pirate	|
impoverished	___impoverished_ [ɪmˈpɒvərɪʃt] a. 穷困的，赤贫的；贫乏的，贫瘠的；枯竭的
confidence	[ˈkɔnfɪdəns] n. 信任；信心
symbolism	[ˈsɪmbəlɪzəm] n. 符号的使用；（尤指文艺中的）象征主义，象征手法
grudge	|
tighten	['taɪtn] v. （使）变紧；使更加严格，加强
coexist	[ˏkəuɪgˈzɪst] vi. 共存
log	|
diversify	[daɪˈvɜːsɪfaɪ] v. （使）多样化
stock	|
terrace	__terrace_ [ˈterəs] n. 一层梯田；一排并列的房子；阳台
condemn	[kənˈdem] vt. 声讨，极力谴责；给……判刑
session	[ˈseʃn] n. 一场，一节；会议；集会
accessible	[əkˈsesəbl] a. 能接近的；易达到的
victim	[ˈvɪktɪm] n. 牺牲者；受害者
fragrance	[ˈfreɪgrəns] n. 芳香，香味；香水
questionnaire	[ˏkwestʃəˈneə(r)] n. 问卷，调查表
extendable	[ɪkˈstendəbl] a. 可延伸的，可展开的，可扩张的
wretch	[retʃ] n. 不幸的人
toxic	[ˈtɔksɪk] a. 有毒的；中毒的
frontier	[ˈfrʌntɪə(r)] n. 边境，边界；开发地区的边缘地带；[常pl.] 前沿，新领域
energetic	[ˌenəˈdʒetɪk] a. 有力的，精力旺盛的；积极的
release	|
occupation	[ˏɔkjuˈpeɪʃn] n. 占领；职业；消遣
stringent	[ˈstrɪndʒənt] a. （法律、规则等）严格的，苛刻的；（财政状况）紧缩的，短缺的，银根紧的；迫切的
course	|
economical	[ˏiːkəˈnɔmɪkl] a. 节约的；经济的
vested	['vestɪd] a. 法律规定的；既定的
enlist	[ɪnˈlɪst] v. 征募；从军，参军；谋取（帮助，支持等）
sprawl	|
dioxide	[daɪˈɔksaɪd] n. 二氧化物
tutorial	|
emotion	[ɪˈməuʃn] n. 感情；情绪
mental	[ˈmentl] a. 心理的，精神的；智力的
behalf	[bɪˈhɑːf] n. 利益；代表
supervision	[ˌsu:pə'vɪʒn]; [ˌsju:pə'vɪʒn] n. 监督，管理；指导
begrimed	[bɪ'graɪmd] a. 污秽的
evolution	[ˏiːvəˈluːʃn] n. 进展；进化
glacier	__gracier__ [ˈglæsɪə(r)] n. 冰川，冰河
administrator	[ədˈmɪnɪstreɪtə(r)] n. 管理者，管理人员；行政人员
swear	[sweə(r)] v. 宣（誓）；诅咒
regurgitate	[rɪˈgɜːdʒɪteɪt] vt. 涌回，流回；[动] （使）反胃，将（咽下的食物）返回到口中，反刍
cooperation	[kəuˏɔpəˈreɪʃn] n. 合作，协作；配合
incur	[ɪnˈkɜː(r)] vt. 招致，遭受
disturbance	[dɪˈstɜːbəns] n. 扰乱，打扰；骚乱，混乱；心神不安，烦恼
neglect	[nɪˈglekt] n./vt. 忽视；疏忽；遗漏
livelihood	[ˈlaɪvlɪhud] n. 生活，生计
dormancy	['dɔ:mənsɪ] n. 休眠；催眠状态；冬眠；隐匿
clue	[kluː] n. 线索；提示
aerobics	[eəˈrəubɪks] n. 有氧运动
venture	|
topsoil	[ˈtɒpsɔɪl] n. 表层土
bargain	|
vice-versa	__vice__ __versa__ [ˏvaɪsɪ ˈvɜːsə] 反之亦然
professional	|
commence	[kəˈmens] v. 开始，着手
stylish	[ˈstaɪlɪʃ] a. 时髦的；漂亮的
identity	[aɪˈdentətɪ] n. 身份；特性；同一性
combustion	[kəmˈbʌstʃən] n. 燃烧；燃烧过程
alter	[ˈɔːltə(r)] vt. 改变；变动
wedge	|
continuity	[ˏkɔntɪˈnjuːətɪ] n. 连续（性）；持续（性）
spice	|
transmit	[træns'mɪt] v. 传送；传染；发射
entertainment	[ˌentəˈteɪnmənt] n. 招待，款待；娱乐（业）；供消遣的事物
argue	[ˈɑːgjuː] v. 争论；说服
substantial	[səbˈstænʃl] a. 可观的，大量的；坚固的，结实的；实质的；大体上的
curry	|
compliment	[ˈkɔmplɪmənt] n. 赞美；[pl.] 问候，祝贺
ambiguous	[æmˈbɪgjuəs] a. 含糊其辞的； 不明确的，模棱两可的
biased	[ˈbaɪəst] a. 有偏见的；片面的
approve	[əˈpruːv] v. 赞成；批准，同意
claim	|
decent	[ˈdiːsnt] a. 大方的，体面的，像样的；正派的，合乎礼仪的
itinerary	[aɪˈtɪnərərɪ] n. 行程表；旅行路线，旅行计划
supportive	[səˈpɔ:tɪv] a. 支持的，支援的；赞助的；鼓励的；同情的
